RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Position,Event,
255951,300186459,CRC,PINTO Jorge Luis (COL),N,22,CUBERO J.,,I66',2014
255951,300186459,GRE,SANTOS Fernando (POR),N,23,TACHTSIDIS,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,1,LLORIS,GKC,,2014
255951,300186462,NGA,KESHI Stephen (NGA),S,1,ENYEAMA,GK,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,2,DEBUCHY,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),S,2,YOBO,C,W90',2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,3,EVRA,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),S,5,AMBROSE,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,4,VARANE,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),S,7,MUSA,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,6,CABAYE,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),S,8,ODEMWINGIE,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,8,VALBUENA,,O90',2014
255951,300186462,NGA,KESHI Stephen (NGA),S,9,EMENIKE,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,9,GIROUD,,O62',2014
255951,300186462,NGA,KESHI Stephen (NGA),S,10,MIKEL,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,10,BENZEMA,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),S,11,MOSES,,O89',2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,14,MATUIDI,,Y54',2014
255951,300186462,NGA,KESHI Stephen (NGA),S,13,OSHANIWA,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,19,POGBA,,G79',2014
255951,300186462,NGA,KESHI Stephen (NGA),S,17,ONAZI,,O59',2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),S,21,KOSCIELNY,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),S,22,OMERUO,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,16,RUFFIER,GK,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,16,EJIDE,GK,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,23,LANDREAU,GK,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,21,AGBIM,GK,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,5,SAKHO,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,3,UZOENYI,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,7,CABELLA,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,4,GABRIEL,,I59',2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,11,GRIEZMANN,,I62',2014
255951,300186462,NGA,KESHI Stephen (NGA),N,6,EGWUEKWE,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,12,MAVUBA,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,12,ODUNLAMI,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,13,MANGALA,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,14,OBOABONA,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,15,SAGNA,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,15,AZEEZ,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,17,DIGNE,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,19,NWOFOR,,I89',2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,18,SISSOKO,,I90',2014
255951,300186462,NGA,KESHI Stephen (NGA),N,20,UCHEBO,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,20,REMY,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,23,AMEOBI,,,2014
255951,300186462,FRA,DESCHAMPS Didier (FRA),N,22,SCHNEIDERLIN,,,2014
255951,300186462,NGA,KESHI Stephen (NGA),N,18,BABATUNDE,,,2014
255951,300186460,GER,LOEW Joachim (GER),S,1,NEUER,GK,,2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,23,RAIS,GK,,2014
255951,300186460,GER,LOEW Joachim (GER),S,4,H�WEDES,,,2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,3,GHOULAM,,,2014
255951,300186460,GER,LOEW Joachim (GER),S,7,SCHWEINSTEIGER,,O109',2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,4,BELKALEM,,,2014
255951,300186460,GER,LOEW Joachim (GER),S,8,�ZIL,,G120',2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,5,HALLICHE,C,Y42' O97',2014
255951,300186460,GER,LOEW Joachim (GER),S,13,M�LLER,,,2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,8,LACEN,,,2014
255951,300186460,GER,LOEW Joachim (GER),S,16,LAHM,C,Y107',2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,10,FEGHOULI,,,2014
255951,300186460,GER,LOEW Joachim (GER),S,17,MERTESACKER,,,2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,13,SLIMANI,,,2014
255951,300186460,GER,LOEW Joachim (GER),S,18,KROOS,,,2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,15,SOUDANI,,O100',2014
255951,300186460,GER,LOEW Joachim (GER),S,19,G�TZE,,OH46',2014
255951,300186460,ALG,HALILHODZIC Vahid (BIH),S,19,TAIDER,,O78',2014
255951,300186460,GER,LOEW Joachim (GER),S,20,BOATENG,,,2014
