Year,Datetime,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Half-time Home Goals,Half-time Away Goals,MatchID,Home Team Initials,Away Team Initials
1994,28 Jun 1994 - 16:00,Group B,Pontiac Silverdome,Brazil,1,1,Sweden, ,0,1,3080,BRA,SWE
1994,28 Jun 1994 - 12:30,Group E,RFK Stadium,Italy,1,1,Mexico, ,0,0,3078,ITA,MEX
1994,28 Jun 1994 - 16:00,Group B,Stanford Stadium,Russia,6,1,Cameroon, ,3,0,3079,RUS,CMR
1994,29 Jun 1994 - 12:30,Group F,Citrus Bowl,Morocco,1,2,Netherlands, ,0,1,3081,MAR,NED
1994,29 Jun 1994 - 12:30,Group F,RFK Stadium,Belgium,0,1,Saudi Arabia, ,0,1,3082,BEL,KSA
1994,30 Jun 1994 - 19:30,Group D,Foxboro Stadium,Greece,0,2,Nigeria, ,0,1,3083,GRE,NGA
1994,30 Jun 1994 - 19:30,Group D,Cotton Bowl,Argentina,0,2,Bulgaria, ,0,0,3084,ARG,BUL
1994,02 Jul 1994 - 12:00,Round of 16,Soldier Field,Germany,3,2,Belgium, ,3,1,3085,GER,BEL
1994,02 Jul 1994 - 16:30,Round of 16,RFK Stadium,Spain,3,0,Switzerland, ,1,0,3086,ESP,SUI
1994,03 Jul 1994 - 12:00,Round of 16,Cotton Bowl,Saudi Arabia,1,3,Sweden, ,0,1,3087,KSA,SWE
1994,03 Jul 1994 - 13:30,Round of 16,Rose Bowl,Romania,3,2,Argentina, ,2,1,3088,ROU,ARG
1994,04 Jul 1994 - 12:00,Round of 16,Citrus Bowl,Netherlands,2,0,"rn"">Republic of Ireland", ,2,0,3089,NED,IRL
1994,04 Jul 1994 - 12:30,Round of 16,Stanford Stadium,Brazil,1,0,USA, ,0,0,3090,BRA,USA
1994,05 Jul 1994 - 13:00,Round of 16,Foxboro Stadium,Nigeria,1,2,Italy,Italy win after extra time ,0,0,3091,NGA,ITA
1994,05 Jul 1994 - 16:30,Round of 16,Giants Stadium,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3),0,0,3092,MEX,BUL
1994,09 Jul 1994 - 12:00,Quarter-finals,Foxboro Stadium,Italy,2,1,Spain, ,1,0,3097,ITA,ESP
1994,09 Jul 1994 - 14:30,Quarter-finals,Cotton Bowl,Netherlands,2,3,Brazil, ,0,0,3098,NED,BRA
1994,10 Jul 1994 - 12:00,Quarter-finals,Giants Stadium,Bulgaria,2,1,Germany, ,0,0,3096,BUL,GER
1994,10 Jul 1994 - 12:30,Quarter-finals,Stanford Stadium,Romania,2,2,Sweden,Sweden win on penalties (4 - 5),0,0,3095,ROU,SWE
1994,13 Jul 1994 - 16:00,Semi-finals,Giants Stadium,Bulgaria,1,2,Italy, ,1,2,3100,BUL,ITA
1994,13 Jul 1994 - 16:30,Semi-finals,Rose Bowl,Sweden,0,1,Brazil, ,0,0,3099,SWE,BRA
1994,16 Jul 1994 - 12:30,Match for third place,Rose Bowl,Sweden,4,0,Bulgaria, ,4,0,3103,SWE,BUL
1994,17 Jul 1994 - 12:30,Final,Rose Bowl,Brazil,0,0,Italy,Brazil win on penalties (3 - 2),0,0,3104,BRA,ITA
1998,10 Jun 1998 - 17:30,Group A,Stade de France,Brazil,2,1,Scotland, ,1,1,4000,BRA,SCO
1998,10 Jun 1998 - 21:00,Group A,La Mosson,Morocco,2,2,Norway, ,1,1,8725,MAR,NOR
1998,11 Jun 1998 - 17:30,Group B,Stade du Parc Lescure,Italy,2,2,Chile, ,1,1,8726,ITA,CHI
1998,11 Jun 1998 - 21:00,Group B,Stade Municipal,Cameroon,1,1,Austria, ,0,0,8727,CMR,AUT
1998,12 Jun 1998 - 14:30,Group D,La Mosson,Paraguay,0,0,Bulgaria, ,0,0,8728,PAR,BUL
1998,12 Jun 1998 - 17:30,Group C,Stade Felix Bollaert,Saudi Arabia,0,1,Denmark, ,0,0,8729,KSA,DEN
1998,12 Jun 1998 - 21:00,Group C,Stade V�lodrome,France,3,0,South Africa, ,1,0,8730,FRA,RSA
1998,13 Jun 1998 - 14:30,Group D,La Beaujoire,Spain,2,3,Nigeria, ,1,1,8731,ESP,NGA
1998,13 Jun 1998 - 17:30,Group E,Stade de Gerland,Korea Republic,1,3,Mexico, ,1,0,8732,KOR,MEX
